Entity,Code,Year,Deaths_Cause_By_Air_Pollution,Continent,population
Saudi Arabia,SAU,2019,37,,35997107
Scotland,,2019,1,,65461
Senegal,SEN,2019,9075,,16436119
Serbia,SRB,2019,1969,,7358005
Seychelles,SYC,2019,0,,105530
Sierra Leone,SLE,2019,7813,,8233969
Singapore,SGP,2019,2,,5909869
Slovakia,SVK,2019,34,,5456681
Slovenia,SVN,2019,62,,2117641
Solomon Islands,SLB,2019,1211,,691191
Somalia,SOM,2019,27553,,16537016
South Africa,ZAF,2019,4590,,58801927
South Korea,KOR,2019,15,,51844690
S. Sudan,SSD,2019,7678,,10606227
Spain,ESP,2019,178,,47363807
Sri Lanka,LKA,2019,6643,,21715079
Sudan,SDN,2019,11310,,44440486
Suriname,SUR,2019,47,,607065
Sweden,SWE,2019,3,,10368969
Switzerland,CHE,2019,1,,8638613
Syria,SYR,2019,18,,20772595
Taiwan,TWN,2019,492,,23821464
Tajikistan,TJK,2019,2607,,9543207
Tanzania,TZA,2019,39165,,61704518
Thailand,THA,2019,7449,,71475664
Timor,TLS,2019,1027,,1299995
Togo,TGO,2019,5060,,8442580
Tokelau,TKL,2019,0,,1827
Tonga,TON,2019,31,,105254
Trinidad and Tobago,TTO,2019,1,,1518147
Tunisia,TUN,2019,21,,12161723
Turkey,TUR,2019,236,,84135428
Turkmenistan,TKM,2019,5,,6250438
Tuvalu,TUV,2019,2,,11069
Uganda,UGA,2019,23001,,44404611
Ukraine,UKR,2019,2728,,43909666
United Arab Emirates,ARE,2019,0,,9287289
United Kingdom,GBR,2019,12,,67059474
United States of America,USA,2019,150,,335942003
United States Virgin Islands,VIR,2019,1,,100442
Uruguay,URY,2019,53,,3429086
Uzbekistan,UZB,2019,3164,,33526656
Vanuatu,VUT,2019,361,,311685
Venezuela,VEN,2019,88,,28490453
Vietnam,VNM,2019,33247,,96648685
Wales,,2019,1,,
Yemen,YEM,2019,9709,,32284046
Zambia,ZMB,2019,8822,,18927715
Zimbabwe,ZWE,2019,10019,,15669666

